annual_income,monthly_income,income_bracket,lifestyle,housing,food_groceries,food_dining,transport,entertainment,healthcare,subscriptions,clothing,utilities,fitness,coffee,total_monthly_expenses,monthly_savings,savings_rate
26213.2,2184.43,low,frugal,691.44,253.97,149.42,186.33,87.33,49.74,98.49,101.7,163.28,0,27.94,1809.63,374.81,0.1716
23680.39,1973.37,low,frugal,548.89,211.05,159.29,165.84,72.47,87.18,60.99,107.97,152.97,0,32.56,1599.19,374.18,0.1896
21690.23,1807.52,low,frugal,484.74,207.26,110.4,146.57,78.28,101.01,65.82,68.04,86.77,60,33.89,1442.77,364.75,0.2018
29590.16,2465.85,low,frugal,657.17,276.3,163.36,202.03,104.68,132.45,44.7,128.8,115.26,60,58.14,1942.9,522.95,0.2121
16307.32,1358.94,low,frugal,364.49,146.6,98.64,98.88,46.69,76.5,113.68,31.26,149.45,150,19.01,1295.2,63.74,0.0469
28083.49,2340.29,low,frugal,670.67,225.32,174.79,186.69,81.52,55.52,45.1,120.95,153.09,100,58.11,1871.76,468.53,0.2002
16353.37,1362.78,low,frugal,393.16,168.51,97.47,101.79,48.99,81.56,66.23,53.3,173.24,60,64.89,1309.14,53.64,0.0394
24184.8,2015.4,low,frugal,535.15,203.75,139.5,148.94,81.41,55.19,65.12,124.61,221.28,60,39.58,1674.53,340.87,0.1691
17109.47,1425.79,low,frugal,432.38,160.21,113.41,108.88,48.68,84.78,99.79,55.51,211.06,60,64.06,1438.77,0.0,0.0
21335.23,1777.94,low,frugal,484.49,185.82,118.23,147.05,82.85,42.13,70.52,106.35,127.53,100,35.37,1500.35,277.59,0.1561
18244.67,1520.39,low,frugal,426.82,160.7,125.17,123.81,56.9,83.71,91.02,54.75,147.54,30,43.67,1344.09,176.3,0.116
31564.99,2630.42,low,frugal,677.64,272.61,202.13,219.64,103.21,63.97,94.88,101.45,192.19,60,75.62,2063.33,567.08,0.2156
27682.84,2306.9,low,frugal,665.18,233.4,181.97,168.0,89.31,131.98,89.42,83.38,127.72,150,62.35,1982.7,324.2,0.1405
30321.3,2526.77,low,frugal,743.42,297.12,187.89,198.24,106.51,53.33,106.46,86.52,126.61,100,72.91,2079.01,447.76,0.1772
20600.75,1716.73,low,frugal,463.95,196.54,125.54,140.82,73.55,55.24,29.65,58.44,52.95,60,23.22,1279.9,436.83,0.2545
20998.38,1749.87,low,frugal,527.21,214.85,124.94,138.1,70.39,40.55,31.49,45.44,250.99,100,47.58,1591.53,158.34,0.0905
25348.93,2112.41,low,frugal,505.83,215.58,170.03,164.23,90.48,89.99,79.17,112.31,96.99,30,39.11,1593.73,518.68,0.2455
28044.49,2337.04,low,frugal,660.82,263.54,168.85,212.32,88.83,68.04,24.56,49.26,99.93,60,22.31,1718.45,618.59,0.2647
19139.85,1594.99,low,frugal,439.27,172.35,124.8,121.7,66.25,49.98,28.71,75.1,82.31,100,32.65,1293.12,301.86,0.1893
29045.18,2420.43,low,frugal,639.31,229.75,149.13,169.1,98.89,115.17,115.51,122.36,57.97,30,4.82,1732.0,688.43,0.2844
27075.91,2256.33,low,frugal,595.97,250.37,151.64,148.6,83.84,82.07,28.02,77.62,262.37,30,51.89,1762.39,493.94,0.2189
15202.62,1266.89,low,frugal,374.83,139.38,98.17,103.68,48.19,71.4,34.21,24.39,138.74,60,2.97,1095.96,170.92,0.1349
17460.07,1455.01,low,frugal,343.54,166.35,111.93,128.39,60.39,48.95,50.63,80.54,150.94,100,76.2,1317.86,137.15,0.0943
23619.7,1968.31,low,frugal,586.11,182.84,156.51,136.52,85.24,67.46,34.26,98.81,138.89,30,6.38,1523.02,445.29,0.2262
23192.58,1932.71,low,frugal,589.23,188.97,121.02,170.36,89.01,47.64,70.55,113.05,121.32,0,58.75,1569.89,362.83,0.1877
24170.46,2014.21,low,frugal,589.29,212.39,153.11,156.83,88.13,104.84,54.04,73.93,101.66,100,78.6,1712.81,301.39,0.1496
23808.83,1984.07,low,frugal,508.28,199.31,128.44,147.74,79.75,61.47,64.4,91.09,156.46,60,53.23,1550.17,433.9,0.2187
19026.24,1585.52,low,frugal,427.42,169.78,138.31,111.59,64.71,63.64,99.42,50.3,233.48,60,68.92,1487.58,97.94,0.0618
26774.63,2231.22,low,frugal,552.37,224.73,168.87,168.14,90.97,96.05,118.07,82.45,224.44,150,17.95,1894.03,337.19,0.1511
17185.28,1432.11,low,frugal,394.74,168.7,108.01,87.62,60.29,34.39,92.27,66.99,78.89,100,19.84,1211.74,220.37,0.1539
19214.1,1601.17,low,frugal,429.12,184.78,120.03,135.43,66.21,89.0,104.59,75.36,71.79,60,32.51,1368.82,232.35,0.1451
16320.2,1360.02,low,frugal,356.66,143.26,83.09,110.66,54.41,69.41,27.29,49.44,108.96,100,68.75,1171.93,188.08,0.1383
23102.05,1925.17,low,frugal,527.04,218.45,121.53,152.38,77.49,94.23,32.29,95.74,182.81,60,5.15,1567.12,358.05,0.186
28652.34,2387.7,low,frugal,711.72,237.79,178.47,198.74,103.61,57.77,69.67,80.24,81.85,100,25.72,1845.56,542.13,0.2271
15002.69,1250.22,low,frugal,332.53,135.19,96.89,91.75,46.57,26.86,104.27,38.01,207.22,150,32.47,1261.76,0.0,0.0
34281.57,2856.8,low,frugal,816.88,294.15,165.56,226.09,127.28,60.04,86.64,156.59,206.05,30,8.56,2177.84,678.96,0.2377
30636.48,2553.04,low,frugal,689.8,278.81,189.82,202.2,78.98,93.49,56.98,50.9,226.18,100,16.53,1983.68,569.36,0.223
28147.07,2345.59,low,frugal,711.36,251.79,177.94,171.56,82.16,65.82,51.56,114.37,125.34,100,24.17,1876.07,469.52,0.2002
22355.72,1862.98,low,frugal,448.86,203.12,117.77,135.52,73.22,80.39,20.99,76.35,282.3,30,62.99,1531.52,331.46,0.1779
30458.43,2538.2,low,frugal,735.63,274.56,192.59,212.67,98.65,56.67,71.8,80.99,132.35,100,1.9,1957.8,580.4,0.2287
32971.21,2747.6,low,frugal,810.58,312.81,161.85,203.34,106.42,79.37,94.74,92.96,74.04,0,29.38,1965.5,782.11,0.2847
19507.63,1625.64,low,frugal,441.52,171.11,129.05,135.85,59.24,76.4,87.41,55.65,123.24,60,73.87,1413.34,212.3,0.1306
29154.43,2429.54,low,frugal,621.0,259.12,175.46,203.45,97.21,112.89,100.7,90.59,156.46,0,35.41,1852.29,577.24,0.2376
19183.71,1598.64,low,frugal,432.25,180.78,100.39,132.62,74.3,37.12,39.01,82.93,240.42,100,12.95,1432.78,165.86,0.1038
24538.0,2044.83,low,frugal,528.51,235.52,163.63,178.97,83.31,101.41,20.9,70.1,247.84,30,23.12,1683.31,361.52,0.1768
31960.84,2663.4,low,frugal,717.71,293.77,185.07,211.94,124.43,61.9,111.95,139.15,64.97,30,66.72,2007.61,655.79,0.2462
33368.53,2780.71,low,frugal,784.86,314.44,219.3,211.92,114.85,86.25,39.16,166.97,69.65,0,2.89,2010.28,770.43,0.2771
18504.44,1542.04,low,frugal,417.71,175.68,111.97,129.13,71.43,58.67,55.31,92.58,236.2,100,40.92,1489.6,52.44,0.034
24950.8,2079.23,low,frugal,601.24,200.74,143.11,152.68,80.73,37.61,101.09,112.87,133.33,60,12.85,1636.24,442.99,0.2131
32517.66,2709.81,low,frugal,650.79,300.14,187.24,215.37,111.41,57.19,25.46,126.99,94.01,30,0.11,1798.7,911.1,0.3362
29586.9,2465.57,low,frugal,757.6,283.76,173.95,215.13,90.24,115.15,57.09,143.37,238.18,60,5.41,2139.89,325.69,0.1321
25889.94,2157.49,low,frugal,563.96,242.75,160.54,191.95,90.79,74.08,30.25,93.12,164.29,100,54.96,1766.7,390.79,0.1811
29286.53,2440.54,low,frugal,727.97,262.01,191.01,209.68,94.32,121.9,53.56,131.63,241.6,60,81.45,2175.13,265.42,0.1088
24925.18,2077.1,low,frugal,530.79,217.38,157.87,177.46,81.13,110.71,43.5,103.75,223.88,0,40.54,1687.01,390.09,0.1878
29369.08,2447.42,low,frugal,672.23,270.01,179.65,217.52,90.09,128.54,49.0,124.99,178.06,60,48.56,2018.66,428.77,0.1752
31656.61,2638.05,low,frugal,716.83,288.18,162.95,217.94,96.83,129.85,60.45,55.81,199.96,60,22.96,2011.77,626.28,0.2374
16131.71,1344.31,low,frugal,392.7,143.4,107.53,117.41,48.67,47.75,47.79,42.61,126.99,150,9.12,1233.97,110.34,0.0821
23072.02,1922.67,low,frugal,576.69,224.85,117.99,142.38,67.7,46.66,48.75,88.05,229.93,0,77.19,1620.17,302.49,0.1573
20945.82,1745.48,low,frugal,496.45,176.26,140.74,153.58,76.47,70.54,79.77,88.38,235.76,60,57.33,1635.27,110.22,0.0631
28602.24,2383.52,low,frugal,655.14,256.52,150.59,198.53,99.7,83.07,87.25,145.56,79.21,0,59.04,1814.61,568.91,0.2387
33290.97,2774.25,low,frugal,677.02,289.1,226.55,213.2,111.11,110.77,91.41,69.25,100.67,0,20.77,1909.84,864.4,0.3116
19288.13,1607.34,low,frugal,417.07,162.04,115.11,121.22,67.8,77.87,102.3,95.45,169.71,100,53.19,1481.76,125.58,0.0781
25428.98,2119.08,low,frugal,584.56,217.52,154.45,179.92,73.11,75.4,98.74,85.56,191.69,60,32.52,1753.48,365.6,0.1725
27986.45,2332.2,low,frugal,624.31,269.2,162.72,185.9,93.48,55.18,30.54,117.8,123.98,0,13.67,1676.77,655.43,0.281
16409.84,1367.49,low,frugal,399.52,135.41,99.53,110.84,51.66,39.42,71.5,52.9,138.53,100,23.7,1223.03,144.46,0.1056
33275.77,2772.98,low,frugal,768.64,307.34,201.03,182.45,108.88,103.75,105.88,130.7,226.57,60,51.22,2246.45,526.53,0.1899
18207.31,1517.28,low,frugal,391.26,170.88,100.18,128.6,61.24,37.86,30.53,39.43,140.66,0,32.78,1133.43,383.85,0.253
19684.07,1640.34,low,frugal,496.82,206.76,103.12,111.49,75.43,78.88,61.2,80.59,165.37,60,9.44,1449.11,191.23,0.1166
21744.13,1812.01,low,frugal,524.96,183.08,125.53,130.07,71.71,71.29,99.28,41.08,174.47,60,21.82,1503.28,308.73,0.1704
15199.58,1266.63,low,frugal,362.62,156.04,93.91,104.49,50.45,41.43,38.34,76.5,213.11,30,63.96,1230.86,35.78,0.0282
33035.48,2752.96,low,frugal,753.83,319.69,206.08,221.02,111.81,69.29,63.35,158.38,151.89,30,28.16,2113.49,639.47,0.2323
16374.27,1364.52,low,frugal,363.58,121.37,105.3,120.3,57.43,54.86,26.65,77.49,180.54,100,44.06,1251.56,112.96,0.0828
17806.49,1483.87,low,frugal,451.19,179.83,100.68,123.73,60.07,75.36,79.72,70.21,263.08,0,41.28,1445.15,38.72,0.0261
29327.94,2444.0,low,frugal,637.91,250.18,160.63,183.24,94.86,122.52,27.7,117.23,138.16,100,23.55,1855.98,588.02,0.2406
28847.18,2403.93,low,frugal,678.39,258.53,153.39,209.32,89.87,119.13,46.46,99.51,227.09,0,7.5,1889.19,514.74,0.2141
28978.98,2414.91,low,frugal,621.62,219.86,178.74,169.01,97.33,83.77,119.62,125.04,228.8,0,6.66,1850.45,564.47,0.2337
34977.85,2914.82,low,frugal,891.98,294.37,216.06,239.08,115.68,73.23,98.37,122.97,107.95,0,64.53,2224.23,690.59,0.2369
27474.86,2289.57,low,frugal,660.92,268.86,191.39,198.17,93.41,113.0,58.92,64.12,178.5,30,66.27,1923.56,366.01,0.1599
34622.36,2885.2,low,frugal,880.14,325.29,219.23,260.31,114.8,124.09,114.17,86.15,168.87,60,23.92,2376.98,508.22,0.1761
18124.13,1510.34,low,frugal,464.54,185.11,113.64,112.32,70.02,84.18,89.96,89.45,213.27,60,33.59,1516.08,0.0,0.0
18073.82,1506.15,low,frugal,365.9,169.68,109.75,127.87,51.86,33.06,28.46,64.27,233.42,30,73.45,1287.72,218.43,0.145
32721.87,2726.82,low,frugal,801.96,275.55,210.39,207.12,111.28,176.04,26.24,90.23,71.54,0,15.86,1986.21,740.61,0.2716
19587.32,1632.28,low,frugal,393.79,173.03,101.52,125.75,62.09,50.16,45.65,54.27,182.35,30,71.01,1289.61,342.66,0.2099
18098.51,1508.21,low,frugal,421.24,151.83,113.57,103.42,58.59,59.12,82.4,46.74,151.7,30,61.41,1280.01,228.19,0.1513
16139.57,1344.96,low,frugal,340.86,118.27,101.04,121.72,58.66,75.59,104.01,67.77,207.31,60,56.96,1312.2,32.76,0.0244
24851.38,2070.95,low,frugal,637.71,222.55,160.46,160.82,71.55,75.92,39.64,123.55,107.56,60,58.29,1718.05,352.9,0.1704
19596.53,1633.04,low,frugal,380.56,188.56,109.19,134.85,58.57,48.39,102.57,49.11,237.43,0,31.03,1340.25,292.8,0.1793
30954.65,2579.55,low,frugal,680.79,273.45,203.26,209.57,98.8,114.4,107.41,73.16,114.72,100,13.36,1988.93,590.63,0.229
24166.47,2013.87,low,frugal,531.65,212.94,154.62,160.76,76.33,93.14,96.06,43.78,176.25,150,54.66,1750.18,263.69,0.1309
22957.31,1913.11,low,frugal,519.17,212.95,139.3,126.96,81.23,73.25,23.49,80.45,139.96,0,36.75,1433.51,479.6,0.2507
19749.57,1645.8,low,frugal,470.01,165.04,110.78,125.91,72.26,56.21,97.28,49.9,199.92,30,5.34,1382.66,263.14,0.1599
15383.11,1281.93,low,frugal,361.76,152.8,86.99,108.67,50.48,77.97,46.55,57.89,202.05,150,68.21,1363.36,0.0,0.0
29781.34,2481.78,low,frugal,641.38,247.0,192.86,215.04,90.63,49.93,54.34,128.32,228.83,150,4.49,2002.82,478.96,0.193
16847.21,1403.93,low,frugal,403.29,137.7,101.77,85.44,55.32,69.56,77.79,84.01,198.96,60,80.66,1354.5,49.43,0.0352
